task_id	task_type	premise_type	premise	hypothesis	label
heatPotato-dvvu3fuj-autogen_dropped_e	heat potato	observation	Robot attempts to move to microwave. Robot sees nothing is inside robot gripper, fridge (closed), microwave beside drawer, plate is on top of floor.	The robot failed to do heat potato because it dropped plate while moving to microwave	E
switchDevices-3_gt_step_47_gt_exp	switch devices	plan	To switch devices, robot has this plan - move to laptop, close laptop, pick up laptop, move to tv stand, put laptop on tv stand, open laptop.	Wrong plan: opens the laptop again	E
heatPotato-fdm625xv-autogen_missing_c	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato, put potato on plate, pick up plate, move to microwave, put plate on countertop.	The robot can't put plate on countertop without doing pick up plate before.	C
boilWater-7od10bqy-autogen_missing_e	boil water	observation	Robot attempts to put pot on fourth stove burner. Robot sees nothing is inside robot gripper, fourth stove burner is beside sink.	Robot failed to execute - pick up pot) because it did not do put pot on fourth stove burner before executing it.	E
heatPotato-euav8g12-autogen_blocking_e	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato, put potato on plate, pick up plate, move to microwave, put plate on countertop, open microwave, pick up plate.	fridge is blocking plate	N
boilWater-1i7n1m9y-autogen_action-failed_c	boil water	observation	Robot attempts to put pot in sink. Robot sees mug (empty and dirty), mug is inside sink, faucet (turned off), pot is inside sink.	The robot failed to complete boil water because it failed to execute (put_in, Pot, Sink)	C
boilWater-wa9jpj74-autogen_dropped_c	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot, move to sink.	Robot failed to keep pot in the gripper while moving to sink.	N
makeCoffee-3dg5ti76-autogen_wrong_order_e	make coffee	observation	Robot attempts to put mug on sink. Robot sees pan (clean), potato is on top of pan, potato is on top of first countertop, pan is on top of first countertop, mug is on top of  sink.	The robot fails because it turn on faucet before doing - put mug on sink	N
boilWater-7g7u6f9k-autogen_wrong_order_c	boil water	observation	Robot attempts to pick up pot. Robot sees pot is inside robot gripper, bowl is on top of dining table, bowl is on the left of fork, bowl is on the left of spoon.	Wrong plan - turn off faucet after pick up pot	N
heatPotato-5nozg97b-autogen_dropped_e	heat potato	observation	Robot attempts to move to microwave. Robot sees nothing is inside robot gripper, mug (filled with water and clean), mug is inside sink, faucet (turned off), microwave on the left of plate, plate is on top of floor.	Robot failed to keep plate in the gripper while moving to microwave.	E
toastBread-sjbi962s-autogen_wrong_order_e	toast bread	plan	To toast bread, robot has this plan - move to knife, pick up knife, move to bread, slice bread, put knife on second countertop, pick up bread slice, move to toaster, turn on toaster, put bread slice in toaster.	The robot fails because it turn on toaster before doing - put bread slice in toaster	E
heatPotato-v6la4171-autogen_missing_e	heat potato	observation	Robot attempts to put plate on countertop. Robot sees nothing is inside robot gripper, countertop is on the left of garbage can.	The robot failed because the step of pick up plate is missing before put plate on countertop	E
makeCoffee-13l4flwp-autogen_action-failed_e	make coffee	observation	Robot attempts to put mug in coffee machine. Robot sees nothing is inside robot gripper, laptop (closed and turned off), mug is on top of garbage can.	The robot failed to perform make coffee because did not put_in mug	E
toastBread-u4f5bai2-autogen_dropped_c	toast bread	observation	Robot attempts to move to toaster. Robot sees bread slice is inside robot gripper, faucet (turned off), pot is inside sink, toaster on the right of countertop, bread slice is on top of floor.	bread slice was dropped by the robot.	C
makeCoffee-u4p0bbne-autogen_blocking_e	make coffee	observation	Robot attempts to pick up mug. Robot sees fridge (closed), nothing is inside robot gripper, egg (not sliced and not cracked), egg is on top of mug.	The robot failed to perform (pick_up, Mug) because egg is blocking mug	E
toastBread-m8ojhqhl-autogen_missing_e	toast bread	observation	Robot attempts to put knife on second countertop. Robot sees nothing is inside robot gripper, faucet (turned off), second countertop is on the left of plunger.	The robot failed because the step of pick up knife is missing before put knife on second countertop	E
boilWater-wyu0s8xw-autogen_missing_e	boil water	observation	Robot attempts to put pot on fourth stove burner. Robot sees nothing is inside robot gripper, fourth stove burner is on the left of dish sponge.	The robot failed because there is no pick up pot action in the plan before put pot on fourth stove burner.	E
boilWater-3g6kjafm-autogen_dropped_c	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot, move to sink.	pot was dropped by the robot.	N
boilWater-d5m83lrl-autogen_missing_e	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot, move to sink, put pot in sink, turn on faucet, turn off faucet, move to fourth stove burner, put pot on fourth stove burner.	The robot failed because the step of pick up pot is missing before put pot on fourth stove burner	E
boilWater-afbe78r8-autogen_blocking_c	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot.	pot is being blocked by fridge	N
toastBread-m8ojhqhl-autogen_missing_e	toast bread	plan	To toast bread, robot has this plan - move to knife, move to bread, slice bread, put knife on second countertop.	The robot failed because the step of pick up knife is missing before put knife on second countertop	E
boilWater-ielb8pfs-autogen_blocking_e	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot.	The robot failed to perform (pick_up, Pot) because coffee machine is blocking pot	N
toastBread-f9a98tao-autogen_missing_c	toast bread	plan	To toast bread, robot has this plan - move to knife, pick up knife, move to bread, slice bread, put knife on second countertop.	The robot failed because there is no pick up knife action in the plan before put knife on second countertop.	C
boilWater-mw2ykba4-autogen_blocking_c	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot, move to sink, put pot in sink, turn on faucet, turn off faucet, pick up pot.	Robot could not pick up pot because television is blocking pot	N
heatPotato-e0ko94t0-autogen_wrong_order_e	heat potato	observation	Robot attempts to open microwave. Robot sees faucet (turned off), mug (empty and clean), plate is on top of sink, spatula is on top of sink, microwave (open).	The robot fails because it pick up plate before doing - open microwave	N
toastBread-0fsl0m3g-autogen_wrong_order_e	toast bread	observation	Robot attempts to put knife on second countertop. Robot sees egg (not sliced and not cracked), pan (clean), egg is on top of second countertop, pan is on the right of kettle, pan is on top of first countertop, knife is on top of  second countertop.	The robot fails because it pick up bread slice before doing - put knife on second countertop	N
heatPotato-f0675hvt-autogen_dropped_e	heat potato	observation	Robot attempts to move to microwave. Robot sees nothing is inside robot gripper, microwave (open and turned off), microwave on the left of bathtub basin.	plate was dropped by the robot.	E
boilWater-e461c4ke-autogen_blocking_c	boil water	observation	Robot attempts to pick up pot. Robot sees nothing is inside robot gripper, laptop is inside armchair, laptop (open and turned off), laptop is below pot.	pot is being blocked by laptop	C
heatPotato-j7oc8pdf-autogen_action-failed_e	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato.	The robot failed to perform heat potato because it failed to execute (pick_up, Potato).	N
heatPotato-xs4gxap8-autogen_missing_c	heat potato	observation	Robot attempts to put potato on plate. Robot sees plate is on the left of kettle.	The robot failed because the step of pick up potato is missing before put potato on plate	N
makeCoffee-ocyy3vef-autogen_wrong_order_e	make coffee	plan	To make coffee, robot has this plan - move to mug, pick up mug, move to sink, put mug on sink, turn on faucet, turn off faucet, pick up mug, pour mug into sink, move to coffee machine, put mug in coffee machine, turn on coffee machine, turn off coffee machine, put mug on countertop, pick up mug.	The robot fails because it put mug on countertop before doing - pick up mug	E
boilWater-qtqwm3n1-autogen_wrong_order_c	boil water	observation	Robot attempts to turn off faucet. Robot sees laptop (closed and turned off), television (turned off), television is on the left of garbage can, television is on top of tv stand, faucet (turned off).	Wrong plan - turn on faucet after turn off faucet	N
toastBread-37o0d7at-autogen_dropped_c	toast bread	observation	Robot attempts to move to toaster. Robot sees bread slice is inside robot gripper, pot is on top of third countertop, pot is on the left of potato, pan is on top of pot, pot (empty and clean), toaster on the right of towel holder, bread slice is on top of floor.	Robot failed to keep bread slice in the gripper while moving to toaster.	C
boilWater-8fhdtdh1-autogen_action-failed_e	boil water	observation	Robot attempts to put pot in sink. Robot sees nothing is inside robot gripper, microwave (open and turned off), cup is inside microwave, pot is on top of drawer.	The robot failed to perform boil water because it failed to execute (put_in, Pot, Sink).	E
heatPotato-k1tupzg4-autogen_blocking_e	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato, put potato on plate, pick up plate.	mug is blocking plate	N
heatPotato-bnui4d2h-autogen_blocking_c	heat potato	observation	Robot attempts to pick up plate. Robot sees nothing is inside robot gripper, laptop is on top of tv stand, television (turned off), laptop (closed and turned off), television is on top of tv stand, plate is below television.	television is being blocked by plate	C
heatPotato-h4v5oha9-autogen_dropped_e	heat potato	observation	Robot attempts to move to microwave. Robot sees nothing is inside robot gripper, laptop (closed and turned off), microwave on the left of desk, plate is on top of floor.	Robot failed to keep plate in the gripper while moving to microwave.	E
heatPotato-tf43fcco-autogen_dropped_c	heat potato	observation	Robot attempts to move to microwave. Robot sees plate is inside robot gripper, microwave on the left of garbage can.	Robot failed to keep plate in the gripper while moving to microwave.	C
boilWater-9ooobks6-autogen_wrong_order_e	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot, move to sink, put pot in sink, turn on faucet, pick up pot, turn off faucet.	The robot fails because it pick up pot before doing - turn off faucet	E
boilWater-p6q88vt2-autogen_dropped_c	boil water	observation	Robot attempts to move to sink. Robot sees pot is inside robot gripper, pot is on top of third countertop, pan is on top of pot, pot is on the left of potato, pot (empty and clean), sink beside garbage can, pot is on top of floor.	dropped pot while moving	C
boilWater-0c4znxju-autogen_action-failed_c	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot, move to sink, put pot in sink, turn on faucet, turn off faucet, pick up pot.	The robot failed to perform boil water because it failed to execute (pick_up, Pot).	N
heatPotato-9_gt_step_118_gt_exp	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato, move to plate, put potato on plate, pick up plate, move to microwave, move to countertop, put plate on first countertop, move to microwave, open microwave, move to plate, pick up plate, move to microwave, put plate in microwave, toggle on microwave.	The robot should have closed the microwave before trying to toggle it on. as a result, the robot could not toggle on a microwave that is open.	E
heatPotato-gup96dxn-autogen_action-failed_c	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato, put potato on plate, pick up plate.	The robot failed to perform heat potato because it failed to execute (pick_up, Plate).	N
heatPotato-89fzj44y-autogen_missing_c	heat potato	observation	Robot attempts to put potato on plate. Robot sees nothing is inside robot gripper, potato is inside robot gripper, laptop is inside armchair, laptop (closed and turned off), potato is on top of SideTable.	The robot failed because there is no pick up potato action in the plan before put potato on plate.	C
switchDevices-5_gt_step_48_gt_exp	switch devices	plan	To switch devices, robot has this plan - move to laptop, close laptop, pick up laptop, move to garbage can, put laptop in garbage can.	Wrong plan: laptop is put in garbage can instead of tv stand	E
heatPotato-o6cvl2el-autogen_wrong_order_e	heat potato	observation	Robot attempts to pick up plate. Robot sees plate is inside robot gripper, egg (not sliced and not cracked), pan (clean), egg is on the left of book, egg is on top of second countertop, pan is on the right of kettle, pan is on top of first countertop.	The robot fails because it move to microwave before doing - pick up plate	N
heatPotato-fbwwdtmn-autogen_dropped_c	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato, put potato on plate, pick up plate, move to microwave.	dropped plate while moving	N
boilWater-nd8rp10z-autogen_blocking_e	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot, move to sink, put pot in sink, turn on faucet, turn off faucet, pick up pot.	Robot could not pick up pot because egg is blocking pot	N
toastBread-30tzceog-autogen_blocking_e	toast bread	observation	Robot attempts to pick up knife. Robot sees nothing is inside robot gripper, microwave (open and turned off), microwave is on top of knife.	knife is being blocked by microwave	E
heatPotato-7917a4z1-autogen_wrong_order_c	heat potato	observation	Robot attempts to turn on microwave. Robot sees faucet (turned off), microwave (turned on).	The robot fails because it turn on microwave before doing - put plate on countertop	N
boilWater-zt7lvcrt-autogen_action-failed_e	boil water	observation	Robot attempts to put pot in sink. Robot sees pot is inside robot gripper, laptop (open and turned off), laptop is inside armchair.	The robot failed to complete boil water because it failed to execute (put_in, Pot, Sink)	E
makeCoffee-uhgvvdlt-autogen_action-failed_e	make coffee	observation	Robot attempts to pick up mug. Robot sees nothing is inside robot gripper, plate is on top of sink, spatula is on top of sink, mug (filled with water and clean), faucet (turned off), mug is inside Mug.	The robot failed to perform make coffee because did not pick_up mug	E
heatPotato-fdm625xv-autogen_missing_c	heat potato	observation	Robot attempts to put plate on countertop. Robot sees nothing is inside robot gripper, plate is inside robot gripper, potato is on top of second countertop, plate is on top of Fridge.	The robot can't put plate on countertop without doing pick up plate before.	C
makeCoffee-5t53fann-autogen_wrong_order_c	make coffee	observation	Robot attempts to pick up mug. Robot sees mug is inside robot gripper.	The robot fails because it pick up mug before doing - turn off faucet	N
toastBread-vfmov9ks-autogen_dropped_e	toast bread	observation	Robot attempts to move to bread. Robot sees nothing is inside robot gripper, pan is on top of pot, pot (empty and clean), pot is on the left of potato, pot is on top of third countertop, bread beside drawer, knife is on top of floor.	knife was dropped by the robot.	E
heatPotato-5pkn0934-autogen_missing_c	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato, put potato on plate.	The robot failed because there is no pick up potato action in the plan before put potato on plate.	C
toastBread-h686hnkk-autogen_wrong_order_e	toast bread	plan	To toast bread, robot has this plan - move to knife, pick up knife, move to bread, slice bread, put knife on second countertop, pick up bread slice, move to toaster, turn on toaster, put bread slice in toaster.	Wrong plan - put bread slice in toaster after turn on toaster	E
boilWater-22hfgici-autogen_missing_e	boil water	observation	Robot attempts to put pot on fourth stove burner. Robot sees nothing is inside robot gripper, pot is inside sink, faucet (turned on), fourth stove burner is beside watch.	Robot failed to execute - pick up pot) because it did not do put pot on fourth stove burner before executing it.	E
makeCoffee-umyptw5c-autogen_blocking_e	make coffee	plan	To make coffee, robot has this plan - move to mug, pick up mug, move to sink, put mug on sink, turn on faucet, turn off faucet, pick up mug, pour mug into sink, move to coffee machine, put mug in coffee machine, turn on coffee machine, turn off coffee machine, pick up mug.	The robot failed to perform (pick_up, Mug) because bowl is blocking mug	N
toastBread-x9mqxtom-autogen_blocking_c	toast bread	observation	Robot attempts to pick up knife. Robot sees pot is on top of third countertop, pot is on the left of potato, pot (empty and clean), pan is on top of pot, nothing is inside robot gripper, knife is below pot.	Robot could not pick up pot because knife is blocking pot	C
heatPotato-k465d4i4-autogen_wrong_order_e	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato, put potato on plate, pick up plate, move to microwave, put plate on countertop, open microwave, put plate in microwave, pick up plate.	The robot fails because it put plate in microwave before doing - pick up plate	E
heatPotato-fnh1ew5y-autogen_action-failed_e	heat potato	observation	Robot attempts to pick up plate. Robot sees nothing is inside robot gripper, microwave (closed and turned on), pan (clean), plate is on top of ToiletPaperHanger.	Failed to do (pick_up, Plate)	E
heatPotato-pkh7y7xl-autogen_action-failed_c	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato, put potato on plate, pick up plate.	The robot failed to complete heat potato because it failed to execute (pick_up, Plate)	N
waterPlant-2_gt_step_37_gt_exp	water plant	plan	To water plant, robot has this plan - move to pot, pick up pot, move to sink, put pot on third countertop, toggle on faucet, toggle off faucet, pick up pot, move to house plant, pour liquid from pot into house plant.	Wrong plan - pot is put on countertop instead of inside sink	E
heatPotato-7bjxu0l1-autogen_action-failed_e	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato.	The robot failed to complete heat potato because it failed to execute (pick_up, Potato)	N
cookEgg-3_gt_step_47_gt_exp	cook egg	plan	To cook egg, robot has this plan - move to fridge, open fridge, pick up egg, close fridge, move to first stove burner, toggle on first stove burner, move to pan, put egg on first countertop, pick up pan.	A potato is inside the pan at the beginning of the task execution, and the robot never removed it from the pan.	E
makeCoffee-8_gt_step_17_gt_exp	make coffee	observation	Robot attempts to pick up mug. Robot sees mug is inside robot gripper, mug (empty and dirty).	The mug is dirty at the beginning of the task execution, and the robot never cleaned the mug.	E
boilWater-pgbzrbcd-autogen_action-failed_e	boil water	observation	Robot attempts to pick up pot. Robot sees nothing is inside robot gripper, egg is on top of dining table, egg is on the left of pan, bowl is on top of dining table, egg (not sliced and not cracked), egg is on the right of toaster, bowl is on the left of bread, pot is above TVStand.	The robot failed to perform boil water because it failed to execute (pick_up, Pot).	E
heatPotato-h4v5oha9-autogen_dropped_e	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato, put potato on plate, pick up plate, move to microwave.	Robot failed to keep plate in the gripper while moving to microwave.	N
boilWater-is81tiid-autogen_dropped_c	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot, move to sink.	The robot failed to do boil water because it dropped pot while moving to sink	N
heatPotato-mobst3mg-autogen_missing_e	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato, put potato on plate, move to microwave, put plate on countertop.	The robot failed because the step of pick up plate is missing before put plate on countertop	E
heatPotato-10_gt_step_94_gt_exp	heat potato	observation	Robot attempts to open microwave. Robot sees nothing is inside robot gripper, microwave (closed and turned on).	The robot should not toggle on the microwave before trying to open it. as a result, the robot cannot open a microwave that is turned on.	E
makeCoffee-7m0hwsrw-autogen_action-failed_c	make coffee	observation	Robot attempts to put mug in coffee machine. Robot sees faucet (turned off), mug is inside coffee machine.	The robot failed to perform make coffee because it failed to execute (put_in, Mug, CoffeeMachine).	C
boilWater-8fftoak2-autogen_action-failed_e	boil water	observation	Robot attempts to put pot in sink. Robot sees nothing is inside robot gripper, faucet (turned off), mug (empty and dirty), mug is inside sink, pot is on top of cabinet.	The robot failed to perform boil water because it failed to execute (put_in, Pot, Sink).	E
cookEgg-5_gt_step_61_reflect_exp	cook egg	plan	To cook egg, robot has this plan - move to fridge, open fridge, pick up egg, close fridge, move to first stove burner, toggle on first stove burner, move to pan, put egg on second countertop, pick up pan.	The robot failed to pick up the pan and instead picked up a book. this failure was caused by a mistake in the robot's action selection algorithm or a sensor error that led to the incorrect object being identified and picked up.	N
boilWater-coj1wvys-autogen_wrong_order_e	boil water	plan	To boil water, robot has this plan - move to pot, move to sink, pick up pot.	Wrong plan - pick up pot after move to sink	E
heatPotato-8gcgxxen-autogen_blocking_c	heat potato	observation	Robot attempts to pick up plate. Robot sees egg is on top of first countertop, nothing is inside robot gripper, egg is below microwave, egg (not sliced and not cracked), egg is on top of plate.	egg is being blocked by plate	C
heatPotato-v0wqqaww-autogen_wrong_order_e	heat potato	plan	To heat potato, robot has this plan - move to potato, put potato on plate, pick up potato.	Wrong plan - pick up potato after put potato on plate	E
makeCoffee-8ppqioxo-autogen_dropped_c	make coffee	observation	Robot attempts to move to sink. Robot sees mug is inside robot gripper, laptop (closed and turned off), sink on the left of cart.	Robot failed to keep mug in the gripper while moving to sink.	C
heatPotato-9_gt_step_121_gt_exp	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato, move to plate, put potato on plate, pick up plate, move to microwave, move to countertop, put plate on first countertop, move to microwave, open microwave, move to plate, pick up plate, move to microwave, put plate in microwave, toggle on microwave, close microwave.	The robot should have closed the microwave before trying to toggle it on. as a result, the robot could not toggle on a microwave that is open.	E
heatPotato-scpy3gm7-autogen_blocking_e	heat potato	observation	Robot attempts to pick up plate. Robot sees nothing is inside robot gripper, laptop (closed and turned off), plate is below laptop.	Robot could not pick up plate because laptop is blocking plate	E
makeCoffee-xe2cxib1-autogen_wrong_order_c	make coffee	observation	Robot attempts to put mug in coffee machine. Robot sees faucet (turned off), pot is inside sink, mug is inside coffee machine.	Wrong plan - move to coffee machine after put mug in coffee machine	N
boilWater-ajsx99zn-autogen_action-failed_e	boil water	observation	Robot attempts to turn off faucet. Robot sees faucet (turned on), faucet (turned on).	The robot failed to complete boil water because it failed to execute (toggle_off, Faucet)	E
boilWater-atnz85ak-autogen_dropped_c	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot, move to sink.	The robot failed to do boil water because it dropped pot while moving to sink	N
heatPotato-3_gt_step_40_reflect_exp	heat potato	observation	Robot attempts to pick up plate. Robot sees plate is inside robot gripper, plate (clean).	The robot failed to put the potato on the plate as instructed. the failure was caused by the robot not properly releasing the potato from its gripper, resulting in the potato being dropped on the dining table instead of being placed on the plate.	N
makeCoffee-g30xjjeb-autogen_action-failed_e	make coffee	plan	To make coffee, robot has this plan - move to mug, pick up mug, move to sink, put mug on sink, turn on faucet, turn off faucet, pick up mug, pour mug into sink, move to coffee machine, put mug in coffee machine.	The robot failed to perform make coffee because did not put_in mug	N
cookEgg-2_gt_step_58_gt_exp	cook egg	observation	Robot attempts to put pan on first stove burner. Robot sees pan is inside robot gripper, first stove burner (turned on), pan (clean), pot is on top of first stove burner.	The robot failed to put the pan on the first stove burner because there was already a pot on it.	E
switchDevices-5_gt_step_48_gt_exp	switch devices	observation	Robot attempts to put laptop in garbage can. Robot sees nothing is inside robot gripper, laptop (closed and turned off), laptop is inside garbage can, garbage can is on the right of tv stand.	Wrong plan: laptop is put in garbage can instead of tv stand	E
makeCoffee-b5m5wu5k-autogen_action-failed_e	make coffee	observation	Robot attempts to turn off faucet. Robot sees fridge (closed), bowl is inside fridge, faucet (turned on).	The robot failed to perform make coffee because did not toggle_off faucet	E
makeCoffee-j87cq0qs-autogen_blocking_e	make coffee	plan	To make coffee, robot has this plan - move to mug, pick up mug, move to sink, put mug on sink, turn on faucet, turn off faucet, pick up mug.	The robot failed to perform (pick_up, Mug) because fridge is blocking mug	N
makeCoffee-yfu2icdl-autogen_missing_e	make coffee	plan	To make coffee, robot has this plan - move to mug, pick up mug, move to sink, put mug on sink, turn on faucet, turn off faucet, pick up mug, pour mug into sink, move to coffee machine, put mug in coffee machine, turn on coffee machine, turn off coffee machine, put mug on countertop.	Robot failed to execute - pick up mug) because it did not do put mug on countertop before executing it.	E
heatPotato-njmwy0hg-autogen_missing_c	heat potato	observation	Robot attempts to put plate on countertop. Robot sees countertop is beside candle.	The robot failed because there is no pick up plate action in the plan before put plate on countertop.	N
makeCoffee-ugf7d5n2-autogen_action-failed_c	make coffee	plan	To make coffee, robot has this plan - move to mug, pick up mug, move to sink, put mug on sink, turn on faucet, turn off faucet, pick up mug, pour mug into sink.	The robot failed to perform make coffee because did not pour mug	N
toastBread-934k5w45-autogen_blocking_e	toast bread	observation	Robot attempts to pick up knife. Robot sees pan is on top of pot, nothing is inside robot gripper, pot (empty and clean), pot is on top of third countertop, pot is on the left of potato, pot is on top of knife.	knife is being blocked by pot	E
boilWater-jljkva7s-autogen_missing_e	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot, move to sink, put pot in sink, turn on faucet, turn off faucet, move to stove burner, put pot on fourth stove burner.	Robot failed to execute - pick up pot) because it did not do put pot on fourth stove burner before executing it.	E
switchDevices-6_gt_step_51_gt_exp	switch devices	observation	Robot attempts to pick up remote control. Robot sees nothing is inside robot gripper, remote control is below book, remote control is on top of coffee table.	Book is blocking remote control	E
switchDevices-8_gt_step_59_gt_exp	switch devices	observation	Robot attempts to move to television. Robot sees nothing is inside robot gripper.	Dropped remotecontrol while moving	E
heatPotato-bbi3e078-autogen_action-failed_c	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato.	Failed to do (pick_up, Potato)	N
heatPotato-3pn1wjuz-autogen_dropped_c	heat potato	observation	Robot attempts to move to microwave. Robot sees plate is inside robot gripper, microwave is above cup, microwave (open and turned off), microwave beside toilet, plate is on top of floor.	dropped plate while moving	C
makeCoffee-06htv3r2-autogen_missing_e	make coffee	plan	To make coffee, robot has this plan - move to mug, pick up mug, move to sink, put mug on sink, turn on faucet, turn off faucet, pick up mug, pour mug into sink, move to coffee machine, put mug in coffee machine, turn on coffee machine, turn off coffee machine, put mug on countertop.	Robot failed to execute - pick up mug) because it did not do put mug on countertop before executing it.	E
heatPotato-2fxjw64q-autogen_wrong_order_e	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato, pick up plate, put potato on plate.	The robot fails because it pick up plate before doing - put potato on plate	E
boilWater-xxtb3gal-autogen_dropped_e	boil water	observation	Robot attempts to move to fourth stove burner. Robot sees nothing is inside robot gripper, mug (filled with water and clean), mug is inside sink, faucet (turned off), fourth stove burner on the right of bathtub basin, pot is on top of floor.	Robot failed to keep pot in the gripper while moving to fourth stove burner.	E
heatPotato-adsyeept-autogen_dropped_c	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato, put potato on plate, pick up plate, move to microwave.	plate was dropped by the robot.	N
heatPotato-0uprfbgr-autogen_dropped_e	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato, put potato on plate, pick up plate, move to microwave.	plate was dropped by the robot.	N
heatPotato-00kovj1c-autogen_blocking_c	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato, put potato on plate, pick up plate.	plate is blocking laptop	N
makeCoffee-955k45vn-autogen_wrong_order_c	make coffee	observation	Robot attempts to turn on coffee machine. Robot sees laptop (closed and turned off), coffee machine (turned on).	The robot fails because it turn on coffee machine before doing - put mug in coffee machine	N
heatPotato-ovt5lpde-autogen_missing_c	heat potato	observation	Robot attempts to put potato on plate. Robot sees laptop (closed and turned off), laptop is inside armchair, plate is on the left of wine bottle.	The robot can't put potato on plate without doing pick up potato before.	N
toastBread-uvbg6o5y-autogen_dropped_c	toast bread	plan	To toast bread, robot has this plan - move to knife, pick up knife, move to bread.	knife was dropped by the robot.	N
heatPotato-i3b3my4w-autogen_wrong_order_c	heat potato	observation	Robot attempts to pick up plate. Robot sees plate is inside robot gripper, egg (not sliced and not cracked).	The robot fails because it pick up plate before doing - open microwave	N
heatPotato-ge34as1h-autogen_blocking_c	heat potato	plan	To heat potato, robot has this plan - move to potato, pick up potato, put potato on plate, pick up plate, move to microwave, put plate on countertop, turn on microwave, open microwave, pick up plate.	Robot could not pick up plate because potato is blocking plate	N
waterPlant-6_gt_step_44_gt_exp	water plant	observation	Robot attempts to pick up container. Robot sees bowl is inside robot gripper.	Ambiguous plan - some container	N
cookEgg-10_gt_step_33_gt_exp	cook egg	observation	Robot attempts to toggle on stove burner. Robot sees egg is inside robot gripper.	The robot toggled on the fourth stove burner but put the pan on the first stove burner instead.	N
makeCoffee-htdoenwx-autogen_wrong_order_c	make coffee	observation	Robot attempts to turn off faucet. Robot sees fridge (closed), faucet (turned off).	The robot fails because it turn off faucet before doing - turn on faucet	N
makeCoffee-7_gt_step_36_gt_exp	make coffee	plan	To make coffee, robot has this plan - move to mug, pick up mug, move to sink, put mug on sink, toggle on faucet, toggle off faucet, pick up mug, move to coffee machine.	The robot never executed the action to pour water from mug after cleaning it. as a result, the mug cannot be filled with coffee.	E
makeCoffee-06mnxtyn-autogen_blocking_e	make coffee	observation	Robot attempts to pick up mug. Robot sees egg (not sliced and not cracked), pan (clean), pan is on the right of kettle, egg is on top of second countertop, nothing is inside robot gripper, pan is on top of first countertop, mug is below egg.	egg is blocking mug	E
makeCoffee-13l4flwp-autogen_action-failed_e	make coffee	plan	To make coffee, robot has this plan - move to mug, pick up mug, move to sink, put mug on sink, turn on faucet, turn off faucet, pick up mug, pour mug into sink, move to coffee machine, put mug in coffee machine.	The robot failed to perform make coffee because did not put_in mug	N
boilWater-alphsmib-autogen_wrong_order_e	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot, move to sink, put pot in sink, turn on faucet, turn off faucet, move to fourth stove burner, pick up pot.	The robot fails because it move to fourth stove burner before doing - pick up pot	E
boilWater-x2kw3em5-autogen_action-failed_e	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot.	Failed to do (pick_up, Pot)	N
boilWater-poczy2tt-autogen_dropped_e	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot, move to sink, put pot in sink, turn on faucet, turn off faucet, pick up pot, move to stove burner.	pot was dropped by the robot.	N
heatPotato-3tlvaeo9-autogen_blocking_e	heat potato	observation	Robot attempts to pick up potato. Robot sees nothing is inside robot gripper, fridge (closed), fridge is on top of potato.	Robot could not pick up potato because fridge is blocking potato	E
boilWater-nkj935a8-autogen_dropped_e	boil water	plan	To boil water, robot has this plan - move to pot, pick up pot, move to sink, put pot in sink, turn on faucet, turn off faucet, pick up pot, move to fourth stove burner.	pot was dropped by the robot.	N
